Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	mAU
0.061599	1.371773	0.130744	5.486372							0.068775	0.720933
0.062347	1.375167	0.132243	5.484773							0.069522	0.721644
0.063094	1.377562	0.133742	5.483562							0.07027	0.722355
0.063842	1.379835	0.135241	5.482718							0.071018	0.723066
0.064589	1.382676	0.13674	5.482156							0.071765	0.723777
0.065337	1.38574	0.138239	5.481846							0.072513	0.724488
0.066084	1.389281	0.139738	5.481644							0.07326	0.725199
0.066832	1.395429	0.141238	5.481555							0.074008	0.72591
0.067579	1.402892	0.142737	5.481475							0.074755	0.726621
0.068327	1.411982	0.144236	5.481412							0.075503	0.727325
0.069075	1.42292	0.145735	5.481324							0.07625	0.728028
0.069822	1.437174	0.147234	5.481179							0.076998	0.728732
0.07057	1.454854	0.148733	5.48104							0.077746	0.729435
0.071317	1.475907	0.150232	5.480873							0.078493	0.730138
0.072065	1.500907	0.151731	5.480655							0.079241	0.730842
0.072812	1.531095	0.153231	5.480426							0.079988	0.731545
0.07356	1.567596	0.15473	5.480126							0.080736	0.732248
0.074307	1.610556	0.156229	5.479817							0.081483	0.732952
0.075055	1.657456	0.157728	5.479494							0.082231	0.733655
0.075803	1.707471	0.159227	5.479164							0.082978	0.734399
0.07655	1.757834	0.160726	5.478866							0.083726	0.735143
0.077298	1.810639	0.162225	5.47859							0.084474	0.735887
0.078045	1.865845	0.163724	5.478299							0.085221	0.736631
0.078793	1.921857	0.165224	5.478021							0.085969	0.737374
0.07954	1.977032	0.166723	5.477769							0.086716	0.738118
0.080288	2.030982	0.168222	5.477565							0.087464	0.738862
0.081035	2.08373	0.169721	5.477316							0.088211	0.739606
0.081783	2.134223	0.17122	5.47712							0.088959	0.74035
0.082531	2.183704	0.172719	5.47695							0.089706	0.741094
