Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
0.116026	2.843036	0.116026	6.259383	0.6089	0							0.123201	1.613271
0.117691	2.738885	0.117691	6.252205	0.617225	0							0.124866	1.617828
0.119356	2.64068	0.119356	6.246216	0.62555	0							0.126531	1.622385
0.121021	2.552996	0.121021	6.2416	0.633876	0							0.128196	1.626942
0.122686	2.475519	0.122686	6.238086	0.642201	0							0.12986	1.631499
0.124351	2.403961	0.124351	6.235504	0.650526	0							0.131525	1.636056
0.126016	2.341845	0.126016	6.233781	0.658852	0							0.13319	1.640613
0.127681	2.28555	0.127681	6.232723	0.667177	0							0.134855	1.645371
0.129345	2.236619	0.129345	6.232168	0.675502	0							0.13652	1.650129
0.13101	2.192523	0.13101	6.231905	0.683828	0							0.138185	1.654887
0.132675	2.154209	0.132675	6.231865	0.692153	0							0.13985	1.659645
0.13434	2.120657	0.13434	6.232008	0.700478	0							0.141515	1.664403
0.136005	2.090679	0.136005	6.232253	0.708804	0							0.143179	1.669162
0.13767	2.062113	0.13767	6.232452	0.717129	0							0.144844	1.67392
0.139335	2.037592	0.139335	6.23267	0.725454	0							0.146509	1.678678
0.141	2.015583	0.141	6.23276	0.73378	0							0.148174	1.683436
0.142664	1.997431	0.142664	6.232934	0.742105	0							0.149839	1.688194
0.144329	1.979138	0.144329	6.233058	0.75043	0							0.151504	1.693131
0.145994	1.960966	0.145994	6.233078	0.758756	0							0.153169	1.698068
0.147659	1.948702	0.147659	6.233087	0.767081	0							0.154834	1.703004
0.149324	1.937176	0.149324	6.233187	0.775406	0							0.156499	1.707941
0.150989	1.927468	0.150989	6.23328	0.783732	0							0.158163	1.712878
0.152654	1.920573	0.152654	6.233299	0.792057	0							0.159828	1.717814
0.154319	1.919007	0.154319	6.233322	0.800382	0							0.161493	1.722751
0.155983	1.917753	0.155983	6.233327	0.808708	0							0.163158	1.727688
0.157648	1.918391	0.157648	6.233411	0.817033	0							0.164823	1.732624
0.159313	1.923965	0.159313	6.233471	0.825358	0							0.166488	1.737561
0.160978	1.932416	0.160978	6.233591	0.833684	0							0.168153	1.742654
0.162643	1.943955	0.162643	6.233761	0.842009	0							0.169818	1.747747
0.164308	1.957013	0.164308	6.233962	0.850334	0							0.171482	1.75284
0.165973	1.972697	0.165973	6.23421	0.85866	0							0.173147	1.757933
0.167638	1.991132	0.167638	6.234472	0.866985	0							0.174812	1.763026
0.169302	2.012328	0.169302	6.234832	0.87531	0							0.176477	1.768119
0.170967	2.034972	0.170967	6.235203	0.883636	0							0.178142	1.773212
0.172632	2.060667	0.172632	6.235608	0.891961	0							0.179807	1.778305
0.174297	2.095026	0.174297	6.236015	0.900286	0							0.181472	1.783398
0.175962	2.135347	0.175962	6.236433	0.908612	0							0.183137	1.788491
0.177627	2.16463	0.177627	6.236935	0.916937	0							0.184801	1.793719
0.179292	2.195606	0.179292	6.23744	0.925262	0							0.186466	1.798947
0.180957	2.22772	0.180957	6.238038	0.933588	0							0.188131	1.804175
0.182621	2.260901	0.182621	6.238666	0.941913	0							0.189796	1.809402
0.184286	2.2941	0.184286	6.239299	0.950238	0							0.191461	1.81463
0.185951	2.330269	0.185951	6.240036	0.958564	0							0.193126	1.819858
0.187616	2.36572	0.187616	6.240815	0.966889	0							0.194791	1.825086
0.189281	2.399114	0.189281	6.241596	0.975214	0							0.196456	1.830313
0.190946	2.431377	0.190946	6.242435	0.98354	0							0.19812	1.835541
0.192611	2.461916	0.192611	6.243303	0.991865	0							0.199785	1.840769
0.194276	2.491905	0.194276	6.244267	1.00019	0							0.20145	1.845017
0.195941	2.518245	0.195941	6.24524	1.008515	0							0.203115	1.849264
0.197605	2.543466	0.197605	6.246157	1.016841	0							0.20478	1.853512
0.19927	2.566487	0.19927	6.247074	1.025166	0							0.206445	1.85776
0.200935	2.583741	0.200935	6.247983	1.033491	0							0.20811	1.862008
0.2026	2.602788	0.2026	6.249	1.041817	0							0.209775	1.866256
0.204265	2.620322	0.204265	6.250075	1.050142	0							0.211439	1.870504
0.20593	2.633058	0.20593	6.25106	1.058468	0							0.213104	1.874752
0.207595	2.645584	0.207595	6.252085	1.066793	0							0.214769	1.878999
0.20926	2.652727	0.20926	6.253118	1.075118	0							0.216434	1.883247
0.210924	2.658136	0.210924	6.254197	1.083444	0							0.218099	1.887557
0.212589	2.662218	0.212589	6.255332	1.091769	0							0.219764	1.891867
0.214254	2.66481	0.214254	6.256431	1.100094	0							0.221429	1.896177
0.215919	2.657592	0.215919	6.257553	1.10842	0							0.223094	1.900487
0.217584	2.642765	0.217584	6.258687	1.116745	0							0.224758	1.904797
0.219249	2.642728	0.219249	6.25982	1.12507	0							0.226423	1.909107
0.220914	2.640095	0.220914	6.260865	1.133395	0							0.228088	1.913417
0.222579	2.636993	0.222579	6.261878	1.141721	0							0.229753	1.917727
0.224243	2.633142	0.224243	6.262899	1.150046	0							0.231418	1.922037
0.225908	2.627811	0.225908	6.263935	1.158371	0							0.233083	1.926347
0.227573	2.620122	0.227573	6.264936	1.166697	0							0.234748	1.931829
0.229238	2.614748	0.229238	6.265917	1.175022	0							0.236413	1.937311
0.230903	2.60865	0.230903	6.266836	1.183347	0							0.238078	1.942794
0.232568	2.60263	0.232568	6.267716	1.191673	0							0.239742	1.948276
0.234233	2.597711	0.234233	6.268626	1.199998	0							0.241407	1.953758
0.235898	2.592118	0.235898	6.269524	1.208323	0							0.243072	1.95924
0.237562	2.587812	0.237562	6.2705	1.216649	0							0.244737	1.964722
0.239227	2.583388	0.239227	6.271417	1.224974	0							0.246402	1.970204
0.240892	2.579513	0.240892	6.272256	1.233299	0							0.248067	1.975686
0.242557	2.576657	0.242557	6.273122	1.241625	0							0.249732	1.981169
0.244222	2.570959	0.244222	6.273963	1.24995	0							0.251397	1.985583
0.245887	2.564431	0.245887	6.274762	1.258275	0							0.253061	1.989998
0.247552	2.560626	0.247552	6.275508	1.266601	0							0.254726	1.994413
0.249217	2.557133	0.249217	6.276279	1.274926	0							0.256391	1.998828
0.250881	2.55548	0.250881	6.277009	1.283251	0							0.258056	2.003242
0.252546	2.552891	0.252546	6.277747	1.291577	0							0.259721	2.007658
0.254211	2.552272	0.254211	6.27844	1.299902	0							0.261386	2.012072
0.255876	2.549906	0.255876	6.279191	1.308227	0							0.263051	2.016487
0.257541	2.54827	0.257541	6.279923	1.316553	0							0.264716	2.020902
0.259206	2.54714	0.259206	6.280645	1.324878	0							0.26638	2.025317
0.260871	2.544718	0.260871	6.281397	1.333203	0							0.268045	2.029763
0.262536	2.545501	0.262536	6.282065	1.341529	0							0.26971	2.03421
0.264201	2.544141	0.264201	6.282771	1.349854	0							0.271375	2.038657
0.265865	2.543954	0.265865	6.283399	1.358179	0							0.27304	2.043103
