Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
0.053489	0.966868	0.114211	8.547036	0.599962	0							0.060719	-0.345136
0.05432	0.96561	0.115875	8.542513	0.608279	0							0.061551	-0.345134
0.055152	0.965602	0.117538	8.538337	0.616597	0							0.062383	-0.345131
0.055984	0.964731	0.119202	8.534724	0.624915	0							0.063215	-0.345128
0.056816	0.963854	0.120866	8.531696	0.633233	0							0.064046	-0.345125
0.057647	0.963765	0.122529	8.52926	0.64155	0							0.064878	-0.345122
0.058479	0.963413	0.124193	8.527313	0.649868	0							0.06571	-0.345119
0.059311	0.963908	0.125856	8.525814	0.658186	0							0.066542	-0.345116
0.060143	0.964097	0.12752	8.524695	0.666503	0							0.067373	-0.345113
0.060974	0.962743	0.129184	8.523843	0.674821	0							0.068205	-0.34511
0.061806	0.962306	0.130847	8.523194	0.683139	0							0.069037	-0.345107
0.062638	0.961456	0.132511	8.522711	0.691456	0							0.069869	-0.345104
0.06347	0.960727	0.134174	8.522366	0.699774	0							0.0707	-0.345101
0.064302	0.958753	0.135838	8.522168	0.708092	0							0.071532	-0.345097
0.065133	0.958061	0.137501	8.522049	0.71641	0							0.072364	-0.345094
0.065965	0.957805	0.139165	8.521976	0.724727	0							0.073196	-0.345091
0.066797	0.957785	0.140829	8.521894	0.733045	0							0.074028	-0.345088
0.067629	0.960175	0.142492	8.521788	0.741363	0							0.074859	-0.345085
0.06846	0.964688	0.144156	8.521685	0.74968	0							0.075691	-0.345083
0.069292	0.971698	0.145819	8.521593	0.757998	0							0.076523	-0.345081
0.070124	0.979481	0.147483	8.521498	0.766316	0							0.077355	-0.345079
0.070956	0.989487	0.149147	8.521423	0.774634	0							0.078186	-0.345076
0.071787	1.000806	0.15081	8.521316	0.782951	0							0.079018	-0.345074
0.072619	1.01154	0.152474	8.521211	0.791269	0							0.07985	-0.345072
0.073451	1.023328	0.154137	8.521113	0.799587	0							0.080682	-0.34507
0.074283	1.036479	0.155801	8.520979	0.807904	0							0.081513	-0.345068
0.075115	1.049666	0.157465	8.52078	0.816222	0							0.082345	-0.345066
0.075946	1.063342	0.159128	8.520602	0.82454	0							0.083177	-0.345063
0.076778	1.078686	0.160792	8.520468	0.832857	0							0.084009	-0.34506
0.07761	1.093499	0.162455	8.520357	0.841175	0							0.084841	-0.345057
0.078442	1.108304	0.164119	8.520212	0.849493	0							0.085672	-0.345053
0.079273	1.123402	0.165782	8.520058	0.857811	0							0.086504	-0.34505
0.080105	1.139866	0.167446	8.519941	0.866128	0							0.087336	-0.345046
0.080937	1.155801	0.16911	8.519838	0.874446	0							0.088168	-0.345043
0.081769	1.171787	0.170773	8.51972	0.882764	0							0.088999	-0.34504
0.0826	1.188425	0.172437	8.519617	0.891081	0							0.089831	-0.345036
0.083432	1.206203	0.1741	8.519455	0.899399	0							0.090663	-0.345033
0.084264	1.224568	0.175764	8.519345	0.907717	0							0.091495	-0.34503
0.085096	1.241982	0.177428	8.519235	0.916035	0							0.092327	-0.345026
0.085928	1.260062	0.179091	8.519152	0.924352	0							0.093158	-0.345022
0.086759	1.277022	0.180755	8.519048	0.93267	0							0.09399	-0.345019
0.087591	1.293543	0.182418	8.518956	0.940988	0							0.094822	-0.345015
0.088423	1.309761	0.184082	8.518966	0.949305	0							0.095654	-0.345012
0.089255	1.325644	0.185746	8.518955	0.957623	0							0.096485	-0.345008
0.090086	1.342229	0.187409	8.519036	0.965941	0							0.097317	-0.345005
0.090918	1.357571	0.189073	8.519079	0.974258	0							0.098149	-0.345001
0.09175	1.373393	0.190736	8.519073	0.982576	0							0.098981	-0.344997
0.092582	1.388596	0.1924	8.519079	0.990894	0							0.099812	-0.344994
0.093413	1.403721	0.194063	8.51912	0.999212	0							0.100644	-0.344991
0.094245	1.418863	0.195727	8.519176	1.007529	0							0.101476	-0.344989
0.095077	1.433545	0.197391	8.519273	1.015847	0							0.102308	-0.344986
0.095909	1.449983	0.199054	8.519354	1.024165	0							0.10314	-0.344984
0.096741	1.466263	0.200718	8.519408	1.032482	0							0.103971	-0.344982
0.097572	1.483787	0.202381	8.51942	1.0408	0							0.104803	-0.344979
0.098404	1.502187	0.204045	8.519505	1.049118	0							0.105635	-0.344977
0.099236	1.518187	0.205709	8.519592	1.057436	0							0.106467	-0.344974
0.100068	1.533446	0.207372	8.519668	1.065753	0							0.107298	-0.344972
0.100899	1.547583	0.209036	8.519704	1.074071	0							0.10813	-0.344969
0.101731	1.562624	0.210699	8.51975	1.082389	0							0.108962	-0.344967
0.102563	1.578176	0.212363	8.519816	1.090706	0							0.109794	-0.344964
0.103395	1.592968	0.214027	8.519884	1.099024	0							0.110625	-0.344962
0.104226	1.608084	0.21569	8.51991	1.107342	0							0.111457	-0.344959
0.105058	1.622825	0.217354	8.519923	1.115659	0							0.112289	-0.344957
0.10589	1.638362	0.219017	8.520005	1.123977	0							0.113121	-0.344954
0.106722	1.652479	0.220681	8.520071	1.132295	0							0.113953	-0.344952
0.107554	1.665283	0.222344	8.520085	1.140613	0							0.114784	-0.344949
0.108385	1.677458	0.224008	8.520091	1.14893	0							0.115616	-0.344947
0.109217	1.688603	0.225672	8.520103	1.157248	0							0.116448	-0.344944
0.110049	1.697395	0.227335	8.520025	1.165566	0							0.11728	-0.34494
