TITLE	WF_dH5_flowthrough_heatstability_21042022
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	22/04/21
TIME	20:50:29
SPECTROMETER/DATA SYSTEM	
LOCALE	8192
XUNITS	Temperature[C]
YUNITS	CD [mdeg]
Y2UNITS	HT [V]
FIRSTX	   20.0000
LASTX	  100.0300
NPOINTS	     161
XYDATA
Detector	PM-539
Detector S/N	D066761638
  Lock-in amp.	X mode
  HT volt	Auto

Accessory	PTC-517
Accessory S/N	C036561646
  Control sensor	Holder
  Monitor sensor	Holder
  Start Mode	Keep target temperature +/-0.10 deg C while 5 seconds

Measurement date	21/04/2022 19:48

Photometric mode	CD, HT
CD scale	200 mdeg/0.1 dOD
FL scale	200 mdeg/0.1 dOD
D.I.T.	2 sec
Bandwidth	5.00 nm
Monitor wavelength	221.2 nm
Baseline correction	None
Shutter control	Auto
No. of cycle	1

Concentration	19 umol/L
Solvent	Buffer: 20mM Tris pH7.5, 100mM NaCl, 0.5mM EDTA

Start Temperature	20 C
Stage-1	Target 100 C, Interval 0.5 C, Ramp rate 1 C/min, Wait 0 sec
Temp. ramp mode	Halt, wait 0 sec before acquiring data

