Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
0.115073	3.435212	0.115075	6.274123	0.604136	0							0.122266	1.550096
0.116725	3.277148	0.116727	6.264441	0.612397	0							0.123918	1.555551
0.118377	3.131057	0.118379	6.256463	0.620658	0							0.12557	1.561006
0.12003	2.998585	0.120032	6.250058	0.628919	0							0.127222	1.56646
0.121682	2.878631	0.121684	6.245282	0.637181	0							0.128875	1.571915
0.123334	2.770358	0.123336	6.241716	0.645442	0							0.130527	1.57737
0.124986	2.680454	0.124989	6.239249	0.653703	0							0.132179	1.582825
0.126639	2.601401	0.126641	6.237671	0.661964	0							0.133831	1.588526
0.128291	2.526811	0.128293	6.236765	0.670225	0							0.135484	1.594227
0.129943	2.461288	0.129945	6.2363	0.678487	0							0.137136	1.599927
0.131595	2.401289	0.131598	6.236252	0.686748	0							0.138788	1.605628
0.133248	2.344081	0.13325	6.236314	0.695009	0							0.14044	1.611329
0.1349	2.291863	0.134902	6.23654	0.70327	0							0.142093	1.61703
0.136552	2.24579	0.136554	6.236836	0.711531	0							0.143745	1.62273
0.138204	2.206616	0.138207	6.237198	0.719793	0							0.145397	1.628431
0.139857	2.170747	0.139859	6.237653	0.728054	0							0.147049	1.634132
0.141509	2.137656	0.141511	6.237899	0.736315	0							0.148702	1.639833
0.143161	2.107484	0.143163	6.238134	0.744576	0							0.150354	1.645752
0.144813	2.078902	0.144816	6.238266	0.752837	0							0.152006	1.651671
0.146465	2.051853	0.146468	6.238379	0.761099	0							0.153658	1.657591
0.148118	2.028451	0.14812	6.238469	0.76936	0							0.155311	1.66351
0.14977	2.009434	0.149773	6.238474	0.777621	0							0.156963	1.669429
0.151422	1.992464	0.151425	6.238532	0.785882	0							0.158615	1.675349
0.153074	1.978049	0.153077	6.238475	0.794143	0							0.160267	1.681268
0.154727	1.965985	0.154729	6.238389	0.802405	0							0.161919	1.687187
0.156379	1.95585	0.156382	6.238279	0.810666	0							0.163572	1.693107
0.158031	1.946403	0.158034	6.238114	0.818927	0							0.165224	1.699026
0.159683	1.938573	0.159686	6.238081	0.827188	0							0.166876	1.705137
0.161336	1.932457	0.161338	6.238091	0.835449	0							0.168528	1.711248
0.162988	1.928481	0.162991	6.238194	0.843711	0							0.170181	1.717359
0.16464	1.924802	0.164643	6.238256	0.851972	0							0.171833	1.72347
0.166292	1.918033	0.166295	6.23837	0.860233	0							0.173485	1.729581
0.167945	1.907796	0.167947	6.238512	0.868494	0							0.175137	1.735692
0.169597	1.905959	0.1696	6.238774	0.876755	0							0.17679	1.741803
0.171249	1.907764	0.171252	6.239086	0.885017	0							0.178442	1.747914
0.172901	1.911064	0.172904	6.239465	0.893278	0							0.180094	1.754025
0.174554	1.915524	0.174557	6.239827	0.901539	0							0.181746	1.760136
0.176206	1.921459	0.176209	6.240258	0.9098	0							0.183399	1.765125
0.177858	1.92792	0.177861	6.240746	0.918061	0							0.185051	1.770114
0.17951	1.934188	0.179513	6.241311	0.926323	0							0.186703	1.775102
0.181163	1.941832	0.181166	6.241965	0.934584	0							0.188355	1.780091
0.182815	1.949088	0.182818	6.242613	0.942845	0							0.190008	1.78508
0.184467	1.955112	0.18447	6.243296	0.951106	0							0.19166	1.790069
0.186119	1.96338	0.186122	6.244065	0.959367	0							0.193312	1.795058
0.187771	1.972993	0.187775	6.244934	0.967629	0							0.194964	1.800047
0.189424	1.982981	0.189427	6.245805	0.97589	0							0.196617	1.805036
0.191076	1.992526	0.191079	6.246725	0.984151	0							0.198269	1.810025
0.192728	2.000731	0.192731	6.247732	0.992412	0							0.199921	1.816415
0.19438	2.007524	0.194384	6.248768	1.000673	0							0.201573	1.822805
0.196033	2.013432	0.196036	6.249838	1.008934	0							0.203225	1.829196
0.197685	2.015922	0.197688	6.250897	1.017196	0							0.204878	1.835586
0.199337	2.019033	0.199341	6.251965	1.025457	0							0.20653	1.841976
0.200989	2.021374	0.200993	6.253106	1.033718	0							0.208182	1.848366
0.202642	2.022573	0.202645	6.254304	1.041979	0							0.209834	1.854757
0.204294	2.021594	0.204297	6.255526	1.050241	0							0.211487	1.861147
0.205946	2.022376	0.20595	6.256763	1.058502	0							0.213139	1.867537
0.207598	2.021162	0.207602	6.257996	1.066763	0							0.214791	1.873928
0.209251	2.019477	0.209254	6.259213	1.075024	0							0.216443	1.879107
0.210903	2.018103	0.210906	6.260453	1.083285	0							0.218096	1.884287
0.212555	2.015834	0.212559	6.261707	1.091547	0							0.219748	1.889466
0.214207	2.012894	0.214211	6.262928	1.099808	0							0.2214	1.894645
0.21586	2.008103	0.215863	6.264126	1.108069	0							0.223052	1.899825
0.217512	2.002067	0.217515	6.265351	1.11633	0							0.224705	1.905004
0.219164	1.99731	0.219168	6.2666	1.124591	0							0.226357	1.910184
0.220816	1.992526	0.22082	6.267872	1.132853	0							0.228009	1.915363
0.222469	1.986405	0.222472	6.269177	1.141114	0							0.229661	1.920542
0.224121	1.980327	0.224125	6.270485	1.149375	0							0.231314	1.925722
0.225773	1.974668	0.225777	6.271726	1.157636	0							0.232966	1.930966
0.227425	1.967749	0.227429	6.272898	1.165897	0							0.234618	1.936211
0.229077	1.961712	0.229081	6.274105	1.174158	0							0.23627	1.935793
0.23073	1.954328	0.230734	6.27532	1.18242	0							0.237923	1.929429
0.232382	1.947049	0.232386	6.276505	1.190681	0							0.239575	1.924052
0.234034	1.94047	0.234038	6.27765	1.198942	0							0.241227	1.91883
0.235686	1.935793	0.23569	6.278728	1.207203	0							0.242879	1.914117
0.237339	1.929429	0.237343	6.279802	1.215464	0							0.244531	1.909794
0.238991	1.924052	0.238995	6.280915	1.223726	0							0.246184	1.90667
0.240643	1.91883	0.240647	6.282037	1.231987	0							0.247836	1.901439
0.242295	1.914117	0.242299	6.283135	1.240248	0							0.249488	1.897186
0.243948	1.909794	0.243952	6.284264	1.248509	0							0.25114	1.894278
0.2456	1.90667	0.245604	6.285356	1.25677	0							0.252793	1.889887
0.247252	1.901439	0.247256	6.286391	1.265032	0							0.254445	1.885261
0.248904	1.897186	0.248909	6.287473	1.273293	0							0.256097	1.882171
0.250557	1.894278	0.250561	6.288532	1.281554	0							0.257749	1.879152
0.252209	1.889887	0.252213	6.289558	1.289815	0							0.259402	1.875966
0.253861	1.885261	0.253865	6.290548	1.298077	0							0.261054	1.872027
0.255513	1.882171	0.255518	6.291541	1.306338	0							0.262706	1.867607
0.257166	1.879152	0.25717	6.292518	1.314599	0							0.264358	1.863131
0.258818	1.875966	0.258822	6.293387	1.32286	0							0.266011	1.859473
0.26047	1.872027	0.260474	6.294267	1.331121	0							0.267663	1.856205
0.262122	1.867607	0.262127	6.295136	1.339382	0							0.269315	1.853458
0.263775	1.863131	0.263779	6.295971	1.347644	0							0.270967	1.850925
0.265427	1.859473	0.265431	6.296788	1.355905	0							0.27262	1.84975
0.267079	1.856205	0.267084	6.297583	1.364166	0							0.274272	1.847493
0.268731	1.853458	0.268736	6.298391	1.372427	0							0.275924	1.845584
0.270383	1.850925	0.270388	6.299263	1.380688	0							0.277576	1.842525
0.272036	1.84975	0.27204	6.300067	1.38895	0							0.279229	1.840215
0.273688	1.847493	0.273693	6.300823	1.397211	0							0.280881	1.838095
0.27534	1.845584	0.275345	6.301594	1.405472	0							0.282533	1.836012
0.276992	1.842525	0.276997	6.302269	1.413733	0							0.284185	1.834169
0.278645	1.840215	0.278649	6.302913	1.421994	0							0.285837	1.832783
0.280297	1.838095	0.280302	6.303528	1.430256	0							0.28749	1.831085
0.281949	1.836012	0.281954	6.304168	1.438517	0							0.289142	1.829291
0.283601	1.834169	0.283606	6.304813	1.446778	0							0.290794	1.828083
0.285254	1.832783	0.285258	6.30543	1.455039	0							0.292446	1.826414
0.286906	1.831085	0.286911	6.306045	1.4633	0							0.294099	1.825131
0.288558	1.829291	0.288563	6.30666	1.471562	0							0.295751	1.824291
0.29021	1.828083	0.290215	6.307159	1.479823	0							0.297403	1.823368
0.291863	1.826414	0.291868	6.307637	1.488084	0							0.299055	1.822479
0.293515	1.825131	0.29352	6.30821	1.496345	0							0.300708	1.82207
0.295167	1.824291	0.295172	6.308764	1.504606	0							0.30236	1.821786
0.296819	1.823368	0.296824	6.30926	1.512868	0							0.304012	1.820972
0.298472	1.822479	0.298477	6.309801	1.521129	0							0.305664	1.820983
0.300124	1.82207	0.300129	6.3103	1.52939	0							0.307317	1.821003
0.301776	1.821786	0.301781	6.310838	1.537651	0							0.308969	1.820254
0.303428	1.820972	0.303433	6.311306	1.545912	0							0.310621	1.818982
0.305081	1.820983	0.305086	6.311711	1.554174	0							0.312273	1.818133
0.306733	1.821003	0.306738	6.31208	1.562435	0							0.313926	1.817287
0.308385	1.820254	0.30839	6.312485	1.570696	0							0.315578	1.817892
0.310037	1.818982	0.310042	6.312931	1.578957	0							0.31723	1.819597
0.311689	1.818133	0.311695	6.313414	1.587218	0							0.318882	1.819443
0.313342	1.817287	0.313347	6.313818	1.59548	0							0.320535	1.818856
0.314994	1.817892	0.314999	6.31427	1.603741	0							0.322187	1.817713
0.316646	1.819597	0.316652	6.314664	1.612002	0							0.323839	1.817363
0.318298	1.819443	0.318304	6.315135	1.620263	0							0.325491	1.817171
0.319951	1.818856	0.319956	6.315544	1.628524	0							0.327143	1.816018
0.321603	1.817713	0.321608	6.315979	1.636786	0							0.328796	1.814384
0.323255	1.817363	0.323261	6.316409	1.645047	0							0.330448	1.813196
0.324907	1.817171	0.324913	6.316743	1.653308	0							0.3321	1.812719
0.32656	1.816018	0.326565	6.317132	1.661569	0							0.333752	1.811435
0.328212	1.814384	0.328217	6.317441	1.66983	0							0.335405	1.809842
0.329864	1.813196	0.32987	6.317729	1.678092	0							0.337057	1.808337
0.331516	1.812719	0.331522	6.318003	1.686353	0							0.338709	1.806485
0.333169	1.811435	0.333174	6.31829	1.694614	0							0.340361	1.805355
0.334821	1.809842	0.334826	6.318494	1.702875	0							0.342014	1.804726
0.336473	1.808337	0.336479	6.318798	1.711136	0							0.343666	1.804173
0.338125	1.806485	0.338131	6.319114	1.719398	0							0.345318	1.804895
0.339778	1.805355	0.339783	6.319349	1.727659	0							0.34697	1.805281
0.34143	1.804726	0.341436	6.319554	1.73592	0							0.348623	1.805211
0.343082	1.804173	0.343088	6.319785	1.744181	0							0.350275	1.805393
0.344734	1.804895	0.34474	6.320067	1.752442	0							0.351927	1.804912
0.346386	1.805281	0.346392	6.3204	1.760704	0							0.353579	1.804191
0.348039	1.805211	0.348045	6.320647	1.768965	0							0.355232	1.803094
0.349691	1.805393	0.349697	6.320852	1.777226	0							0.356884	1.801907
0.351343	1.804912	0.351349	6.321057	1.785487	0							0.358536	1.797968
0.352995	1.804191	0.353001	6.321247	1.793748	0							0.360188	1.796069
0.354648	1.803094	0.354654	6.321457	1.80201	0							0.361841	1.796402
0.3563	1.801907	0.356306	6.321629	1.810271	0							0.363493	1.796991
0.357952	1.797968	0.357958	6.321792	1.818532	0							0.365145	1.797608
0.359604	1.796069	0.35961	6.321937	1.826793	0							0.366797	1.797254
0.361257	1.796402	0.361263	6.32203	1.835054	0							0.368449	1.79747
0.362909	1.796991	0.362915	6.322149	1.843316	0							0.370102	1.797097
0.364561	1.797608	0.364567	6.322285	1.851577	0							0.371754	1.798429
0.366213	1.797254	0.36622	6.322428	1.859838	0							0.373406	1.799209
0.367866	1.79747	0.367872	6.322534	1.868099	0							0.375058	1.799657
0.369518	1.797097	0.369524	6.322606	1.87636	0							0.376711	1.802051
0.37117	1.798429	0.371176	6.32263	1.884622	0							0.378363	1.803006
0.372822	1.799209	0.372829	6.322722	1.892883	0							0.380015	1.804075
0.374475	1.799657	0.374481	6.322856	1.901144	0							0.381667	1.804928
0.376127	1.802051	0.376133	6.322974	1.909405	0							0.38332	1.806456
0.377779	1.803006	0.377785	6.323076	1.917666	0							0.384972	1.807688
0.379431	1.804075	0.379438	6.32319	1.925928	0							0.386624	1.80619
0.381084	1.804928	0.38109	6.323279	1.934189	0							0.388276	1.806131
0.382736	1.806456	0.382742	6.323291	1.94245	0							0.389929	1.806626
0.384388	1.807688	0.384394	6.323344	1.950711	0							0.391581	1.807489
0.38604	1.80619	0.386047	6.323432	1.958972	0							0.393233	1.80795
0.387693	1.806131	0.387699	6.323521	1.967234	0							0.394885	1.809555
0.389345	1.806626	0.389351	6.323569	1.975495	0							0.396538	1.810676
0.390997	1.807489	0.391004	6.323637	1.983756	0							0.39819	1.810367
0.392649	1.80795	0.392656	6.323658	1.992017	0							0.399842	1.812177
0.394301	1.809555	0.394308	6.323748	2.000278	0							0.401494	1.81347
0.395954	1.810676	0.39596	6.32389	2.008539	0							0.403147	1.81409
0.397606	1.810367	0.397613	6.323961	2.016801	0							0.404799	1.814743
0.399258	1.812177	0.399265	6.324015	2.025062	0							0.406451	1.815352
0.40091	1.81347	0.400917	6.324079	2.033323	0							0.408103	1.8146
0.402563	1.81409	0.402569	6.324161	2.041584	0							0.409755	1.813584
0.404215	1.814743	0.404222	6.324275	2.049845	0							0.411408	1.814087
0.405867	1.815352	0.405874	6.324317	2.058107	0							0.41306	1.813711
0.407519	1.8146	0.407526	6.324379	2.066368	0							0.414712	1.812775
0.409172	1.813584	0.409178	6.324547	2.074629	0							0.416364	1.812081
0.410824	1.814087	0.410831	6.324661	2.08289	0							0.418017	1.811553
0.412476	1.813711	0.412483	6.324726	2.091151	0							0.419669	1.811386
0.414128	1.812775	0.414135	6.324844	2.099413	0							0.421321	1.811567
0.415781	1.812081	0.415788	6.324978	2.107674	0							0.422973	1.812087
0.417433	1.811553	0.41744	6.325101	2.115935	0							0.424626	1.811332
0.419085	1.811386	0.419092	6.325201	2.124196	0							0.426278	1.811404
0.420737	1.811567	0.420744	6.325314	2.132457	0							0.42793	1.813081
0.42239	1.812087	0.422397	6.325457	2.140719	0							0.429582	1.813079
0.424042	1.811332	0.424049	6.325576	2.14898	0							0.431235	1.813002
0.425694	1.811404	0.425701	6.325672	2.157241	0							0.432887	1.812036
0.427346	1.813081	0.427353	6.325747	2.165502	0							0.434539	1.812045
0.428999	1.813079	0.429006	6.325834	2.173764	0							0.436191	1.811965
0.430651	1.813002	0.430658	6.325941	2.182025	0							0.437844	1.811275
0.432303	1.812036	0.43231	6.326051	2.190286	0							0.439496	1.812296
0.433955	1.812045	0.433962	6.326195	2.198547	0							0.441148	1.81351
0.435607	1.811965	0.435615	6.326334	2.206808	0							0.4428	1.814537
0.43726	1.811275	0.437267	6.326457	2.21507	0							0.444452	1.814755
0.438912	1.812296	0.438919	6.326578	2.223331	0							0.446105	1.815149
0.440564	1.81351	0.440572	6.326694	2.231592	0							0.447757	1.815063
0.442216	1.814537	0.442224	6.326841	2.239853	0							0.449409	1.817006
0.443869	1.814755	0.443876	6.327058	2.248114	0							0.451061	1.819177
0.445521	1.815149	0.445528	6.327252	2.256376	0							0.452714	1.8211
0.447173	1.815063	0.447181	6.32742	2.264637	0							0.454366	1.822155
0.448825	1.817006	0.448833	6.327604	2.272898	0							0.456018	1.82238
0.450478	1.819177	0.450485	6.327768	2.281159	0							0.45767	1.823812
0.45213	1.8211	0.452137	6.327905	2.28942	0							0.459323	1.823678
0.453782	1.822155	0.45379	6.328002	2.297681	0							0.460975	1.823499
0.455434	1.82238	0.455442	6.328146	2.305943	0							0.462627	1.824373
0.457087	1.823812	0.457094	6.328248	2.314204	0							0.464279	1.824596
0.458739	1.823678	0.458746	6.32844	2.322465	0							0.465932	1.824769
0.460391	1.823499	0.460399	6.328666	2.330726	0							0.467584	1.825169
0.462043	1.824373	0.462051	6.328884	2.338987	0							0.469236	1.825053
0.463696	1.824596	0.463703	6.329038	2.347249	0							0.470888	1.825238
0.465348	1.824769	0.465356	6.329153	2.35551	0							0.472541	1.825697
0.467	1.825169	0.467008	6.32938	2.363771	0							0.474193	1.826371
0.468652	1.825053	0.46866	6.329627	2.372032	0							0.475845	1.827114
0.470304	1.825238	0.470312	6.329764	2.380293	0							0.477497	1.827786
0.471957	1.825697	0.471965	6.329923	2.388555	0							0.47915	1.828872
0.473609	1.826371	0.473617	6.330104	2.396816	0							0.480802	1.829383
0.475261	1.827114	0.475269	6.330233	2.405077	0							0.482454	1.829027
0.476913	1.827786	0.476921	6.330437	2.413338	0							0.484106	1.829266
0.478566	1.828872	0.478574	6.330686	2.421599	0							0.485758	1.829308
0.480218	1.829383	0.480226	6.330913	2.429861	0							0.487411	1.829808
0.48187	1.829027	0.481878	6.331141	2.438122	0							0.489063	1.830586
0.483522	1.829266	0.48353	6.331313	2.446383	0							0.490715	1.83071
0.485175	1.829308	0.485183	6.331508	2.454644	0							0.492367	1.83095
0.486827	1.829808	0.486835	6.331676	2.462905	0							0.49402	1.830822
0.488479	1.830586	0.488487	6.331863	2.471167	0							0.495672	1.831149
0.490131	1.83071	0.49014	6.332087	2.479428	0							0.497324	1.832431
0.491784	1.83095	0.491792	6.332296	2.487689	0							0.498976	1.833675
0.493436	1.830822	0.493444	6.332494	2.49595	0							0.500629	1.835529
0.495088	1.831149	0.495096	6.332754	2.504211	0							0.502281	1.837342
0.49674	1.832431	0.496749	6.333074	2.512473	0							0.503933	1.838379
0.498393	1.833675	0.498401	6.333386	2.520734	0							0.505585	1.839448
0.500045	1.835529	0.500053	6.333664	2.528995	0							0.507238	1.840734
0.501697	1.837342	0.501705	6.333845	2.537256	0							0.50889	1.840977
0.503349	1.838379	0.503358	6.334075	2.545517	0							0.510542	1.841489
0.505002	1.839448	0.50501	6.334321	2.553779	0							0.512194	1.843107
0.506654	1.840734	0.506662	6.334578	2.56204	0							0.513847	1.844534
0.508306	1.840977	0.508314	6.334819	2.570301	0							0.515499	1.846212
0.509958	1.841489	0.509967	6.335069	2.578562	0							0.517151	1.848438
0.51161	1.843107	0.511619	6.33539	2.586823	0							0.518803	1.850237
0.513263	1.844534	0.513271	6.335618	2.595085	0							0.520456	1.851462
0.514915	1.846212	0.514924	6.335871	2.603346	0							0.522108	1.854119
0.516567	1.848438	0.516576	6.336149	2.611607	0							0.52376	1.855704
0.518219	1.850237	0.518228	6.336371	2.619868	0							0.525412	1.858307
0.519872	1.851462	0.51988	6.336571	2.628129	0							0.527065	1.861019
0.521524	1.854119	0.521533	6.336825	2.63639	0							0.528717	1.863399
0.523176	1.855704	0.523185	6.337102	2.644652	0							0.530369	1.865648
0.524828	1.858307	0.524837	6.337349	2.652913	0							0.532021	1.867491
0.526481	1.861019	0.526489	6.337607	2.661174	0							0.533673	1.868326
0.528133	1.863399	0.528142	6.337919	2.669435	0							0.535326	1.872492
0.529785	1.865648	0.529794	6.338254	2.677696	0							0.536978	1.874581
0.531437	1.867491	0.531446	6.338544	2.685958	0							0.53863	1.876973
0.53309	1.868326	0.533099	6.338871	2.694219	0							0.540282	1.87864
0.534742	1.872492	0.534751	6.339191	2.70248	0							0.541935	1.881207
0.536394	1.874581	0.536403	6.339469	2.710741	0							0.543587	1.88306
0.538046	1.876973	0.538055	6.339752	2.719002	0							0.545239	1.885104
0.539699	1.87864	0.539708	6.340046	2.727264	0							0.546891	1.88757
0.541351	1.881207	0.54136	6.340319	2.735525	0							0.548544	1.890791
0.543003	1.88306	0.543012	6.340559	2.743786	0							0.550196	1.893361
0.544655	1.885104	0.544664	6.34081	2.752047	0							0.551848	1.895932
0.546308	1.88757	0.546317	6.341065	2.760309	0							0.5535	1.898042
0.54796	1.890791	0.547969	6.341393	2.76857	0							0.555153	1.900741
0.549612	1.893361	0.549621	6.341701	2.776831	0							0.556805	1.902815
0.551264	1.895932	0.551273	6.341998	2.785092	0							0.558457	1.905444
0.552916	1.898042	0.552926	6.3423	2.793353	0							0.560109	1.908092
0.554569	1.900741	0.554578	6.342628	2.801615	0							0.561761	1.909956
0.556221	1.902815	0.55623	6.342892	2.809876	0							0.563414	1.91157
0.557873	1.905444	0.557882	6.343203	2.818137	0							0.565066	1.912908
0.559525	1.908092	0.559535	6.343493	2.826398	0							0.566718	1.91482
0.561178	1.909956	0.561187	6.343766	2.834659	0							0.56837	1.916564
0.56283	1.91157	0.562839	6.344059	2.842921	0							0.570023	1.919003
0.564482	1.912908	0.564492	6.344309	2.851182	0							0.571675	1.921728
0.566134	1.91482	0.566144	6.344573	2.859443	0							0.573327	1.923897
0.567787	1.916564	0.567796	6.34485	2.867704	0							0.574979	1.926923
0.569439	1.919003	0.569448	6.345085	2.875965	0							0.576632	1.928925
0.571091	1.921728	0.571101	6.345426	2.884227	0							0.578284	1.933095
0.572743	1.923897	0.572753	6.34572	2.892488	0							0.579936	1.934908
0.574396	1.926923	0.574405	6.345984	2.900749	0							0.581588	1.935823
0.576048	1.928925	0.576057	6.346251	2.90901	0							0.583241	1.938234
0.5777	1.933095	0.57771	6.346484	2.917271	0							0.584893	1.940083
0.579352	1.934908	0.579362	6.346691	2.925533	0							0.586545	1.94232
0.581005	1.935823	0.581014	6.346907	2.933794	0							0.588197	1.944003
0.582657	1.938234	0.582667	6.347233	2.942055	0							0.58985	1.947157
0.584309	1.940083	0.584319	6.347513	2.950316	0							0.591502	1.950417
0.585961	1.94232	0.585971	6.347859	2.958577	0							0.593154	1.952709
0.587614	1.944003	0.587623	6.348125	2.966839	0							0.594806	1.953317
0.589266	1.947157	0.589276	6.348439	2.9751	0							0.596459	1.95713
