,Wavelength,CD_value
266,233.3,-14.7652
267,233.2,-15.0184
268,233.1,-15.1832
269,233.0,-15.3433
270,232.9,-15.5603
271,232.8,-15.7303
272,232.7,-15.923
273,232.6,-16.1625
274,232.5,-16.4307
275,232.4,-16.5388
276,232.3,-16.7932
277,232.2,-17.068
278,232.1,-17.3398
279,232.0,-17.5695
280,231.9,-17.727
281,231.8,-17.8821
282,231.7,-18.0646
283,231.6,-18.228
284,231.5,-18.4156
285,231.4,-18.4993
286,231.3,-18.6109
287,231.2,-18.7758
288,231.1,-18.9876
289,231.0,-19.1614
290,230.9,-19.2818
291,230.8,-19.4515
292,230.7,-19.6221
293,230.6,-19.8621
294,230.5,-20.1258
295,230.4,-20.4407
296,230.3,-20.6445
297,230.2,-20.8284
298,230.1,-21.0857
299,230.0,-21.3188
300,229.9,-21.6646
301,229.8,-21.9071
302,229.7,-22.2637
303,229.6,-22.5817
304,229.5,-22.7924
305,229.4,-23.024
306,229.3,-23.2175
307,229.2,-23.5353
308,229.1,-23.7153
309,229.0,-24.0036
310,228.9,-24.094
311,228.8,-24.2837
312,228.7,-24.3665
313,228.6,-24.7158
314,228.5,-24.9754
315,228.4,-25.1973
316,228.3,-25.3976
317,228.2,-25.6995
318,228.1,-25.9614
319,228.0,-26.2701
320,227.9,-26.6458
321,227.8,-26.9616
322,227.7,-27.2243
323,227.6,-27.6192
324,227.5,-27.89
325,227.4,-28.1535
326,227.3,-28.4034
327,227.2,-28.5693
328,227.1,-28.6847
329,227.0,-28.9505
330,226.9,-29.2012
331,226.8,-29.4825
332,226.7,-29.6536
333,226.6,-29.8333
334,226.5,-30.0072
335,226.4,-30.2906
336,226.3,-30.6736
337,226.2,-30.9231
338,226.1,-31.0926
339,226.0,-31.3438
340,225.9,-31.6374
341,225.8,-32.0467
342,225.7,-32.3411
343,225.6,-32.6463
344,225.5,-32.9139
345,225.4,-33.1882
346,225.3,-33.5032
347,225.2,-33.7103
348,225.1,-34.0059
349,225.0,-34.2729
350,224.9,-34.4786
351,224.8,-34.8391
352,224.7,-35.0458
353,224.6,-35.1569
354,224.5,-35.3269
355,224.4,-35.4975
356,224.3,-35.5785
357,224.2,-35.8017
358,224.1,-36.092
359,224.0,-36.4798
360,223.9,-36.8431
361,223.8,-37.2799
362,223.7,-37.5553
363,223.6,-38.0107
364,223.5,-38.4084
365,223.4,-38.9513
366,223.3,-39.2327
367,223.2,-39.5273
368,223.1,-39.8083
369,223.0,-39.951
370,222.9,-40.2443
371,222.8,-40.2706
372,222.7,-40.4336
373,222.6,-40.5057
374,222.5,-40.538
375,222.4,-40.9112
376,222.3,-41.1454
377,222.2,-41.2837
378,222.1,-41.3065
379,222.0,-41.715
380,221.9,-41.9032
381,221.8,-42.232
382,221.7,-42.5366
383,221.6,-42.7516
384,221.5,-43.2
385,221.4,-43.1856
386,221.3,-43.6056
387,221.2,-43.8664
388,221.1,-44.1397
389,221.0,-44.1983
390,220.9,-44.2564
391,220.8,-44.3409
392,220.7,-44.3338
393,220.6,-44.4567
394,220.5,-44.62
395,220.4,-44.6983
396,220.3,-44.7903
397,220.2,-44.9258
398,220.1,-45.1825
399,220.0,-45.4918
400,219.9,-45.7231
401,219.8,-45.679
402,219.7,-45.9969
403,219.6,-46.1778
404,219.5,-46.4613
405,219.4,-46.6553
406,219.3,-46.7571
407,219.2,-47.0033
408,219.1,-47.0476
409,219.0,-47.2581
410,218.9,-47.4692
411,218.8,-47.6405
412,218.7,-47.6329
413,218.6,-47.8173
414,218.5,-47.9381
415,218.4,-48.0494
416,218.3,-48.3295
417,218.2,-48.5666
418,218.1,-48.6638
419,218.0,-48.6182
420,217.9,-48.3994
421,217.8,-48.3608
422,217.7,-48.4039
423,217.6,-48.4487
424,217.5,-48.5867
425,217.4,-48.5292
426,217.3,-48.8299
427,217.2,-49.0534
428,217.1,-48.9891
429,217.0,-49.1676
430,216.9,-49.352
431,216.8,-49.1473
432,216.7,-49.0924
433,216.6,-48.825
434,216.5,-48.8751
435,216.4,-48.6995
436,216.3,-48.8458
437,216.2,-48.624
438,216.1,-48.5472
439,216.0,-48.4008
440,215.9,-48.471
441,215.8,-48.4974
442,215.7,-48.6802
443,215.6,-48.4451
444,215.5,-48.3665
445,215.4,-48.4921
446,215.3,-48.0864
447,215.2,-48.0648
448,215.1,-47.9643
449,215.0,-47.8812
450,214.9,-47.7989
451,214.8,-47.9547
452,214.7,-48.1587
453,214.6,-48.0974
454,214.5,-48.3966
455,214.4,-48.3286
456,214.3,-48.2788
457,214.2,-48.493
458,214.1,-48.4525
459,214.0,-48.1906
460,213.9,-48.0067
461,213.8,-48.1902
462,213.7,-48.2776
463,213.6,-48.2995
464,213.5,-48.1187
465,213.4,-47.3587
466,213.3,-47.2533
467,213.2,-47.0158
468,213.1,-46.0006
469,213.0,-45.2197
470,212.9,-45.2585
471,212.8,-44.9378
472,212.7,-45.104
473,212.6,-45.6194
474,212.5,-45.5773
475,212.4,-45.3355
476,212.3,-45.8479
477,212.2,-46.8946
478,212.1,-46.6898
479,212.0,-45.78
480,211.9,-45.8284
481,211.8,-45.1928
482,211.7,-44.3152
483,211.6,-44.1784
484,211.5,-44.098
